list_name,official_id,gender,additional_info,extra
EU,EU.62.13,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""watban ibrahim hassan al-tikriti""},{""full_name"":""watab ibrahim al-hassan""},{""full_name"":""watab ibrahim al-hassan""},{""full_name"":""watban ibrahim hassan al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1952,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Tikrit"",""country_code"":""""}]}"
EU,EU.63.75,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""barzan ibrahim hassan al-tikriti""},{""full_name"":""barzan ibrahim hassan al-tikriti""},{""full_name"":""barzan ibrahim hassan al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1951,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Tikrit"",""country_code"":""""}]}"
EU,EU.65.5,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""huda salih mahdi ammash""},{""full_name"":""huda salih mahdi ammash""},{""full_name"":""huda salih mahdi ammash""},{""full_name"":""huda salih mahdi ammash""},{""full_name"":""houda sali mahdi ammach""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1953,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""""}]}"
EU,EU.150.25,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""yahia abdallah al-ubaidi""},{""full_name"":""yahia abdalla al-oubaïdi""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[]}"
EU,EU.153.28,"","(a) Died in 2003, (b) UNSC RESOLUTION 1483 BASIS: see function","{""addresses"":[],""name_aliases"":[{""full_name"":""nayif shindakh thamir ghalib""},{""full_name"":""nayif shindakh thamir ghalib""},{""full_name"":""nayif shindakh thamir ghalib""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[]}"
EU,EU.134.2,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""saif-al-din al-mashhadani""},{""full_name"":""saif-al-din al-machhadani""},{""full_name"":""saif-al-din al-machhadani""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1956,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""""}]}"
EU,EU.90.86,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""fadil mahmud gharib""},{""full_name"":""fadil mahmoud gharib""},{""full_name"":""fadil mahmud gharib""},{""full_name"":""gharib mohammed fazel al-machaikhi""},{""full_name"":""gharib muhammad fazel al-mashaikhi""},{""full_name"":""gharib muhammad fazel al-mashaikhi""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1944,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Dujail"",""country_code"":""""}]}"
EU,EU.103.9,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""muhsin khadr al-khafaji""},{""full_name"":""mouhssin khadr al-khafaji""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[]}"
EU,EU.114.72,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""rashid taan kathim""},{""full_name"":""rachid taan kazim""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[]}"
EU,EU.115.73,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""ugla abid sakr al-zubaisi""},{""full_name"":""ougla abid sakr al-koubaïssi""},{""full_name"":""saqr al-kabisi abd aqala""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1944,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Kubaisi, al-Anbar"",""country_code"":""""}]}"
